# Can. J. Chem. 1959, 37, 1379-1390, Table 1
0 12.28 
0 12.36
0 12.34
0.17 11.61
0.29 11.30
0.55 10.56
0.77 9.97
0.88 9.21
1.05 8.40
1.28 8.06
1.45 8.05
1.95 7.08
2.06 7.67
2.20 7.22
2.35 6.8
2.72 5.98
2.73 5.74
2.97 5.4
3.46 5.08
3.60 4.90
4.12 4.41
4.40 4.25
4.98 3.70
5.13 3.34
5.59 3.24
5.97 3.02
6.66 2.47
6.89 2.49
7.36 2.18
8.14 1.88
8.15 1.80
8.70 1.53
8.88 1.21
9.00 1.73
9.67 1.31
10.44 1.17
12.13 0.92
13.31 0.74 
13.48 0.66
13.75 0.61
14.78 0.48
15.20 0.45
16.36 0.33
17.28 0.42
18.94 0.25
19.79 0.25
20.28 0.21
21.51 0.23
24.67 0.03
28.43 0
33.31 0 
35.59 0
